Site_Name,Date,Local_Authority_Population,Daily_Cases,Cumulative_Cases,Rolling_Sum,Daily_Cases_100k,Rolling_Sum_100k,Week
Cardiff,2020-02-03,366903,0,0,,0,,6
Cardiff,2020-02-04,366903,0,0,,0,,6
Cardiff,2020-02-05,366903,0,0,,0,,6
Cardiff,2020-02-06,366903,0,0,,0,,6
Cardiff,2020-02-07,366903,0,0,,0,,6
Cardiff,2020-02-08,366903,0,0,,0,,6
Cardiff,2020-02-09,366903,0,0,0,0,0,6
Cardiff,2020-02-10,366903,0,0,0,0,0,7
Cardiff,2020-02-11,366903,0,0,0,0,0,7
Cardiff,2020-02-12,366903,0,0,0,0,0,7
Cardiff,2020-02-13,366903,0,0,0,0,0,7
Cardiff,2020-02-14,366903,0,0,0,0,0,7
Cardiff,2020-02-15,366903,0,0,0,0,0,7
Cardiff,2020-02-16,366903,0,0,0,0,0,7
Cardiff,2020-02-17,366903,0,0,0,0,0,8
Cardiff,2020-02-18,366903,0,0,0,0,0,8
Cardiff,2020-02-19,366903,0,0,0,0,0,8
Cardiff,2020-02-20,366903,0,0,0,0,0,8
Cardiff,2020-02-21,366903,0,0,0,0,0,8
Cardiff,2020-02-22,366903,0,0,0,0,0,8
Cardiff,2020-02-23,366903,0,0,0,0,0,8
Cardiff,2020-02-24,366903,0,0,0,0,0,9
Cardiff,2020-02-25,366903,0,0,0,0,0,9
Cardiff,2020-02-26,366903,0,0,0,0,0,9
Cardiff,2020-02-27,366903,0,0,0,0,0,9
Cardiff,2020-02-28,366903,0,0,0,0,0,9
Cardiff,2020-02-29,366903,0,0,0,0,0,9
Cardiff,2020-03-01,366903,0,0,0,0,0,9
Cardiff,2020-03-02,366903,0,0,0,0,0,10
Cardiff,2020-03-03,366903,0,0,0,0,0,10
Cardiff,2020-03-04,366903,1,1,1,0.272551600831828,0.272551600831828,10
Cardiff,2020-03-05,366903,0,1,1,0,0.272551600831828,10
Cardiff,2020-03-06,366903,0,1,1,0,0.272551600831828,10
Cardiff,2020-03-07,366903,0,1,1,0,0.272551600831828,10
Cardiff,2020-03-08,366903,0,1,1,0,0.272551600831828,10
Cardiff,2020-03-09,366903,1,2,2,0.272551600831828,0.545103201663655,11
Cardiff,2020-03-10,366903,1,3,3,0.272551600831828,0.817654802495482,11
Cardiff,2020-03-11,366903,1,4,3,0.272551600831828,0.817654802495482,11
Cardiff,2020-03-12,366903,1,5,4,0.272551600831828,1.09020640332731,11
Cardiff,2020-03-13,366903,0,5,4,0,1.09020640332731,11
Cardiff,2020-03-14,366903,4,9,8,1.09020640332731,2.18041280665462,11
Cardiff,2020-03-15,366903,6,15,14,1.63530960499096,3.81572241164559,11
Cardiff,2020-03-16,366903,7,22,20,1.90786120582279,5.45103201663655,12
Cardiff,2020-03-17,366903,11,33,30,2.9980676091501,8.17654802495482,12
