Week,Date,Site_Name,Flow,gc_100ml,E_gene_100ml,Crass_gc_100,Crass_Recovery,NO3,NH4,PO4,pH,EC,deaths,Deaths_100k,Daily_Cases_100k,Population_Equivalent,Rolling_Sum,Rolling_Sum_100k,Local_Authority_Population,cov_class,cov_detect,E_class
14,2020-03-30,Manchester,,4681.5819264,,,,0.0546666666666667,18.6786666666667,6.12866666666667,7.85333333333333,1231.33333333333,34,6.14986126636496,4.3410785409635,1170000,137,24.780323338,552858,Quantified,TRUE,
14,2020-03-30,Wrexham,28350,4081.620598,,,,0.111666666666667,21.5336666666667,1.576,7.51,1279.66666666667,0,0,2.20658002162448,190000,21,15.4460601513714,135957,Quantified,TRUE,
14,2020-03-30,Liverpool,177608,2853.216457,,,,0.0896666666666667,83.2243333333333,4.777,7.95666666666667,2653.33333333333,62,12.4487493022677,8.63380999995984,628000,216,43.3698362788681,498042,Quantified,TRUE,
14,2020-03-30,The Wirral,16364,2610.3530885,,,,0.064,29.282,3.48566666666667,7.75333333333333,1476.66666666667,35,10.8021023977581,5.55536694741845,74000,95,29.3199922224863,324011,Quantified,TRUE,
14,2020-03-30,Gwynedd,6622.19681052632,6761.5571975,,,,0.072,22.5666666666667,3.05466666666667,7.38666666666667,1303.66666666667,4,3.21130378933847,0.802825947334618,40000,12,9.63391136801541,124560,Quantified,TRUE,
14,2020-03-31,Cardiff,305100,1695.2851295,,,,0.631,20.4186666666667,1.274,7.43666666666667,1318.33333333333,33,8.99420282745031,16.0805444490778,930000,278,75.769345031248,366903,Quantified,TRUE,
15,2020-04-06,Manchester,,7591.5,,,,0.0603333333333333,16.83,2.715,7.45,1231.33333333333,70,12.6614790778102,13.2041138954307,1170000,274,49.560646676,552858,Quantified,TRUE,
15,2020-04-06,Liverpool,201155,15436.5,,,,0.064,37.8463333333333,3.29,7.35666666666667,3193.33333333333,139,27.9092927905679,10.2401002325105,628000,348,69.8736251159541,498042,Quantified,TRUE,
15,2020-04-06,The Wirral,16931,14722,,,,0.132333333333333,31.539,3.10866666666667,7.61666666666667,1402.66666666667,75,23.1473622809102,14.5056803627037,74000,262,80.8614522346464,324011,Quantified,TRUE,
15,2020-04-06,Gwynedd,12988.513416,1078.5,,,,0.0593333333333333,21.3703333333333,2.14,7.26333333333333,2333.33333333333,13,10.43673731535,4.81695568400771,40000,19,15.2536929993577,124560,Detected,TRUE,
